grupo,n_filas,co2_real_medio,co2_pred_medio,mae,rmse,r2,error_relativo_pct
Q3 SPORTBACK,1031,150.1716779825412,145.6444854736328,6.8735347936502595,8.792312131712812,0.6962405433716237,4.577117926623534
BERLINGO,776,138.12757731958763,134.11517333984375,6.8615999320118695,12.15503870921029,0.2962209289777028,4.9675814671939795
SUPERB,480,121.89791666666666,120.88127899169922,6.857813143730164,9.60804442993867,0.8684408343995029,5.625865750013636
FIAT PANDA,196,115.87244897959184,117.95735931396484,6.850820619232801,12.250071576409267,-11.549045504858876,5.912380966798595
ASTRA SPORTS TOURER+,112,110.16071428571429,115.6850357055664,6.8415391104561945,7.67674068521574,0.5132828864302739,6.210507216494519
FIAT TIPO,1139,123.40561896400351,125.32598876953125,6.841430181782951,8.928945936777646,0.7404184868820887,5.543856300237468
ASX,290,140.8896551724138,140.65438842773438,6.8079599314722525,8.884449332995054,-0.17253087332823602,4.832121934815588
ASTRA SPORTS TOURER,164,113.82317073170732,117.61039733886719,6.796439426701244,8.656874051660946,0.6212029429421875,5.971050870407693
FORTWO COUPE MHD,136,98.16176470588235,104.90875244140625,6.795038896448472,6.917966043078221,-48.14425212009765,6.92228681585762
CLIO SPORT TOURER,240,99.95833333333333,105.20579528808594,6.747577063242594,8.06057158683847,0.6746450718134525,6.750389725628272
ECOSPORT,1657,125.63126131563065,120.43989562988281,6.678392980065631,8.958355677452678,0.47850967784515586,5.315868765567131
FORTWO COUPE,540,100.71296296296296,104.06073760986328,6.667779088903356,7.133662653599108,0.37887480610877955,6.620576828183896
ALHAMBRA,619,145.94991922455574,148.09559631347656,6.665431169007629,9.573298034480121,0.6305752784980734,4.566930358318544
B 200 D,399,116.3984962406015,120.63990783691406,6.647159394763765,7.4026603732993195,0.7015742129865198,5.710691812567539
ZAFIRA,373,141.20107238605897,137.92449951171875,6.610024940552085,13.123497862794068,-0.20725528572513707,4.681285225992876
STELVIO,199,152.41206030150755,154.10140991210938,6.604666168366245,9.024002604200554,0.8148163265857786,4.3334275222712915
